Book #,SONG ID,SOURCE,Title,Text © admin,CCLI #,Tune © admin,Author,Author's life span,Tune name,Composer,Composer life span,Word revisions,life span,Music adapt ,Life span,Descants,Life span,Ref. No,Psalm ref #
406,H227,NTRIN447,Christ for the world we sing,pd,n/a,pd,"Wolcott, Samuel ",1813-1886,ITALIAN HYMN,"Giardini, Felice de ",1716-1796,,,,,,,338,
407,H228,NTRIN452,The vision of a dying world,Ortlund,Tacit permission,pd,"Ortlund, Anne",b. 1923,ALL SAINTS NEW,"Cutler, Henry S. ",1824-1902,,,,,,,339,
408,H101,BOW475,"Thy hand, O God, has guided",pd,n/a,pd,"Plumptre, Edward H. ",1821-1891,THORNBURY,"Harwood, Basil ",1859-1949,,,,,,,209,
409,H148,N189,"O Lord, alert your church",STTL,n/a,pd,"Goris, John ",b. 1937,ARLINGTON,"Arne, Thomas A. ",1710-1778,,,"Harrison, Ralph ",1748-1810,,,286,
410,H305,PH377,We have heard the joyful sound,pd,n/a,pd,"Owens, Priscilla J.",1829-1907,JESUS SAVES,"Kirkpatrick, William J. ",1838-1921,,,,,,,,
411,H087,BOW433,We have a gospel to proclaim,"Burns, Edward",n/a,pd,"Burns, Edward J. ",b. 1938,GERMANY,"Gardiner, Sacred Melodies",1815,,,,,,,196,
412,H374,PH476,God of our fathers,pd,n/a,pd,"Roberts, Daniel C. ",1841-1907,NATIONAL HYMN,"Warren, George W. ",1828-1902,,,,,,,107,
413,H219,N155,God is working his purpose out,pd,n/a,pd,"Ainger, Arthur C.",1841-1919,BENSON,"Kingham, Mllicent D. ",1866-1927,,,,,,,281,
414,H339,PH426,"Jesus, with thy church abide",pd,n/a,pd,"Pollock, Thomas Benson ",1839-1896,GOWER'S LITANY,"Gower, John H. ",1855-1922,,,,,,,75,
415,H110,BOW505,"Lord, as the day begins",Hope,455465,pd,"Dudley-Smith, Timothy ",b. 1932,SAMUEL,"Sullivan, Arthur S.",1842-1900,,,,,,,,
416,H215,NPH598,"Lord, keep us steadfast in your word",pd,n/a,pd,"Luther, Martin ",1483-1546,"ERHALT UNS, HERR","Klug, Geistliche Lieder",1543,"Winkworth, Catherine ",1827-1878,,,,,328,
417,H109,BOW502,"O God, you give to all mankind","Burns, Edward",n/a,pd,"Burns, Edward J. ",b. 1938,TALLIS' CANON,"Tallis, Thomas ",c. 1505-1585,,,,,,,239,
418,H216,NPH606,O God of every nation,Hope,178553,pd,"Reid, William W.  ",b. 1923,LLANFYLLIN,Welsh,1865,,,,,,,329,
418,H216,NPH606,O God of every nation,Hope,178553,pd,"Reid, William W.  ",b. 1923,LLANGLOFFAN,Welsh,1865,,,,,,,329,
419,H153,N256,Where cross the crowded ways of life,STTL,n/a,STTL,"North, Frank M. ",1850-1935,SANDWELL,"Kavanagh, Julie",b. 1950,,,,,,,289,
420,H365,PH466,"Onward, Christian soldiers",pd,n/a,pd,"Baring-Gould, Sabine ",1834-1924,ST. GERTRUDE,"Sullivan, Arthur S.",1842-1900,,,,,,,99,
421,H366,PH467,"Stand up, stand up for Jesus",pd,n/a,pd,"Duffield, George ",1818-1888,WEBB,"Webb, George J. ",1803-1887,,,,,,,100,
422,H249,PH083,"O royal bride, give heed",1957,n/a,pd,Psalter Hymnal,1957,GERAR,"Mason, Lowell ",1792-1872,,,,,,,,
423,H347,PH442,For all the saints ,pd,n/a,pd,"How, William Walsham ",1823-1897,SINE NOMINE,"Vaughan Williams, Ralph ",1872-1958,,,,,,,81,
424,H247,OTRIN602,Who are these like stars appearing,pd,n/a,pd,"Schenk, Heinrich T. ",1656-1727,ALL SAINTS OLD,"Geistreiches Gesangbuch, Darmstadt",1698,"Cox, Frances E. ",1812-1897,,,,,350,
425,H189,NPH235,Here from all nations,Hope,484735,pd,"Idle, Christopher ",b. 1938,O QUANTA QUALIA,Paris Antiphoner,1681,,,"Dykes, John B.  ",1823-1876,,,223,
426,H124,N052,’Tis the church triumphant singing,pd,n/a,pd,"Kent, John ",1766-1843,AR HYD Y NOS,Welsh,,,,,,,,260,
427,H368,PH469,By the sea of crystal,pd,n/a,pd,"Kuipers, William ",1884-1933,CRYSTAL,"Vanderhoven, John ",1887-1974,,,,,,,94,
428,H231,N051,With harps and with vials,pd,n/a,pd,"Pierson, Arthur T. ",1837-1911,THE NEW SONG,"Bliss, Philip P. ",1838-1876,,,,,,,261,
429,H370,PH471,Jerusalem the golden,pd,n/a,pd,Bernard of Cluny,12th cent.,EWING,"Ewing, Alexander C.",1830-1895,"Neale, John M. ",1818-1866,,,,,103,
430,H190,NPH236,Then I saw a new heaven and earth,Hope,732614,Hope,"Idle, Christopher ",b. 1938,NEW HEAVEN,"Warren, Norman L. ",b. 1934,,,,,,,224,
431,H125,N061,Come to the waters,Boice/Jones,n/a,Boice/Jones,"Boice, James Montgomery",1938-2000,WATER OF LIFE,"Jones, Paul S.",b. 1969,,,,,,,264,
432,H230,NTRIN472,"Come, ye sinners",pd,n/a,pd,"Hart, Joseph ",1712-1768,BRYN CALFARIA,"Owen, William ",1814-1893,,,,,,,341,
433,H338,PH425,"Jesus, lover of my soul",pd,n/a,pd,"Wesley, Charles ",1707-1788,HOLLINGSIDE,"Dykes, John B. ",1823-1876,,,,,,,74,
433,H338,PH425,"Jesus, lover of my soul",pd,n/a,pd,"Wesley, Charles ",1707-1788,ABERYSTWYTH,"Parry, Joseph ",1841-1903,,,,,,,74,
434,H103,BOW482,To him we come,Hope,649855,Weinberger,"Seddon, James E. ",1915-1983,LIVING LORD,"Appleford, Patrick",b. 1925,,,,,,,,
435,H329,PH413,I heard the voice of Jesus say,pd,n/a,pd,"Bonar, Horatius ",1808-1889,VOX DILECTI,"Dykes, John B. ",1823-1876,,,,,,,68,
436,H311,PH385,Tis not that I did choose thee,pd,n/a,pd,"Conder, Josiah",1789-1855,CRUCIFIX,Greek Air,,,,,,,,51,
437,H312,PH386,How vast the benefits divine,pd,n/a,pd,"Toplady, Augustus M. ",1744-1778,SERAPH,"Fink, Gottfried Wilhelm ",1783-1846,"Westra, Dewey",1899-1979,,,,,52,
438,H306,PH378,I know not why God's wondrous grace,pd,n/a,pd,"Whittle, Daniel W. ",1840-1901,EL NATHAN,"McGranaham, James ",1840-1907,,,,,,,46,
439,H158,N278,God of grace,Crossroads,4107729,Crossroads,"Getty, Keith  ",b. 1974,GOD OF GRACE,"Getty, Keith  ",b. 1974,,,,,,,296,
439,H158,N278,God of grace,Crossroads,4107729,Crossroads,"Rhea, Jonathan ",,GOD OF GRACE,"Rhea, Jonathan ",,,,,,,,296,
440,H313,PH387,"I sought the Lord, and afterward I knew",pd,n/a,pd,Anonymous,1878,FINLANDIA,"Sibelius, Jean ",1865-1957,,,,,,,53,
441,H315,PH389,Not what my hands have done,pd,n/a,pd,"Bonar, Horatius ",1808-1889,LEOMINSTER,"Martin, George William ",1828-1881,,,"Sullivan, Arthur S.",1842-1900,,,55,
442,H352,PH448,"Christ, whose glory fills the skies",pd,n/a,pd,"Wesley, Charles ",1707-1788,LUX PRIMA (GOUNOD),"Gounod, Charles F.",1818-1893,,,,,,,85,
443,H120,N006,Creator of the earth and skies,"Hughes, J. Donald P. ",3191248,pd,"Hughes, Donald W. ",1911-1967,UFFINGHAM,"Clarke , Jeremiah ",c. 1670-1707,,,,,,,256,
444,H350,PH446,My faith looks up to thee,pd,n/a,pd,"Palmer, Ray ",1808-1887,OLIVET,"Mason, Lowell ",1792-1872,,,,,,,84,
445,H314,PH388,"Rock of ages, cleft for me",pd,n/a,pd,"Toplady, Augustus M. ",1744-1778,AJALON,"Redhead, Richard ",1820-1901,,,,,,,54,
445,H314,PH388,"Rock of ages, cleft for me",pd,n/a,Music A. D. (SESAC),"Toplady, Augustus M. ",1744-1778,NEW CITY FELLOWSHIP,"Ward, James C.",b. 1950,,,,,,,,
446,H359,PH455,In the hour of trial,pd,n/a,pd,"Montgomery, James ",1771-1854,PENITENCE,"Lane, Spencer ",1843-1903,,,,,,,91,
447,H235,OTRIN099,A debtor to mercy alone,pd,n/a,pd,"Toplady, Augustus M. ",1740-1778,LLANGRISTIOLUS,"Parry, Joseph ",1841-1903,,,,,,,344,
448,H390,STTL153,In your wrath and hot displeasure,1957,n/a,pd,Psalter Hymnal,1957,ALICE,"Roberts, Robert ",1863-1941,,,,,,,3,
449,H340,PH430,"Lord, like the publican I stand",pd,n/a,pd,"Raffles, Thomas",1788-1863,AVONDALE,"Gabriel, Charles H.",1858-1923,,,,,,,76,
450,H013,BOW189,"Lord, we cry to you for help",Alfred Australia now pd?,NOT COVERED,Tune pd; Harm Alfred Australia Pty Ltd,"Zwingli, Ulrich ",1484-1531,"HERR, NUN HEB","Zwingli, Ulrich ",1484-1531,"Dickinson, Helen ",1875-1957,"Dickinson, Clarence ",1873-1969,,,128,
451,H092,BOW449,"Make me a captive, Lord",pd,n/a,pd,"Matheson, George ",1842-1906,ICH HALTE TREULICH STILL,"Bach, Johann S.",1685-1750,,,,,,,200,
452,H388,STTL151,On the good and faithful,1957,n/a,pd,Psalter Hymnal,1957,PENITENCE,"Lane, Spencer ",1843-1903,,,,,,,1,
453,H392,STTL155,"Remember not, O God",1957,n/a,pd,Psalter Hymnal,1957,GORTON,"Beethoven, Ludwig van ",1770-1827,,,,,,,5,
454,H011,BOW185,“Forgive our sins as we forgive”,OUP,2985338,pd,"Herklots, Rosamond ",1905-1987,DUNFERMLINE,Scottish Psalter,1615,,,"Revised Church Hymnary, The",,,,126,
455,H242,OTRIN418,We have not known thee as we ought,pd,n/a,pd,"Pollock, Thomas Benson ",1839-1896,ST. CHRYSOSTOM,"Barnby, Joseph ",1838-1896,,,,,,,352,
456,H178,N390,Who can sound the depths of sorrow,CopyCare Pacific,30581,CopyCare Pacific,"Kendrick, Graham ",b. 1950,WHO CAN SOUND,"Kendrick, Graham ",b. 1950,,,,,,,315,
457,H213,NPH574,"O God, my faithful God",pd,n/a,pd,"Heermann, Johann",1585-1647,DARMSTADT,"Fritsch, Ahasuerus ",1629-1701,"Winkworth, Catherine ",1827-1878,"Bach, Johann S.  ",1685-1750,,,326,
458,H088,BOW435,God sent his Son,Word Publishing Australia,16880,Word Publishing Australia,"Gaither, William J. ",b. 1936,RESURRECTION,"Gaither, Gloria L.",b. 1942,,,,,,,197,
459,H248,OTRIN658,Yield not to temptation,pd,n/a,pd,"Palmer, Horatio R. ",1834-1907,YIELD NOT,"Palmer, Horatio R. ",1834-1907,,,,,,,360,
460,H166,N328,Blest are the pure in heart,pd,n/a,pd,"Keble, John              ",1792-1866,FRANCONIA,"König, Johann B. ",1691-1758,"Hall, William John",1793-1861,"Havergal, William H. ",1793-1870,,,,
461,H096,BOW465,My hope is built on nothing less,pd,n/a,pd,"Mote, Edward",1797-1874,SOLID ROCK,"Bradbury, William B. ",1816-1868,,,,,,,204,
462,H328,PH411,How firm a foundation,pd,n/a,pd,"Rippon, Selection of Hymns",1787,FOUNDATION,American,,,,,,,,67,
463,H132,N110,Eternal Ruler of the ceaseless round,pd,n/a,pd,"Chadwick, John W.",1840-1904,SONG 1,"Gibbons, Orlando ",1583-1625,,,,,,,277,
464,H169,N338,"Faithful Shepherd, feed me",pd,n/a,pd,"Pollock, Thomas Benson ",1839-1896,PASTOR PASTORUM,"Silcher, Friedrich ",1789-1860,,,,,,,307,
465,H371,PH472,Sun of my soul,pd,n/a,pd,Bishop Ken,1637-1711,HURSLEY,"Monk, William H. ",1823-1889,,,,,,,104,
465,H371,PH472,Sun of my soul,pd,n/a,pd,"Keble, John              ",1792-1866,HURSLEY,"Monk, William H. ",1823-1889,,,,,,,104,
466,H326,PH407,"Guide me, O thou great Jehovah",pd,n/a,pd,"Williams, William ",1717-1791,CWM RHONDDA,"Hughes, John ",1873-1932,"Williams, Peter",1772-1796,,,Anonymous,,65,
467,H083,BOW418,"I am trusting you, Lord Jesus",pd,n/a,pd,"Havergal, Frances R. ",1836-1879,BULLINGER,"Bullinger, Ethelbert W. ",1837-1913,,,,,,,190,
468,H356,PH452,"Have thine own way, Lord!",pd,n/a,pd,"Pollard, Adelaide A.",1862-1934,THEODORA (LEGGE),"Legge, Alfred ",1843-1919,,,,,,,89,
468,H356,PH452,"Have thine own way, Lord!",pd,n/a,pd,"Pollard, Adelaide A.",1862-1934,ADELAIDE,"Stebbins, George C. ",1846-1945,,,,,,,89,
469,H355,PH451,Take time to be holy,pd,n/a,pd,"Longstaff, William D. ",1822-1894,STOWEY,English ,,,,,,,,88,
469,H355,PH451,Take time to be holy,pd,n/a,pd,"Longstaff, William D. ",1822-1894,HOLINESS,"Stebbins, George C. ",1846-1945,,,,,,,88,
470,H232,NTRIN606,Teach me thy way,pd,n/a,pd,"Ramsey, B. Mansell ",1849-1923,CAMACHA,"Ramsey, B. Mansell",1849-1923,,,,,,,342,
471,H357,PH453,O for a closer walk with God,pd,n/a,pd,"Cowper, William ",1731-1800,CAITHNESS,Scottish Psalter,1635,,,"English Hymnal, The",1906,,,90,
472,H185,NPH222,If I speak a foreign tongue,FACR,233948 added,pd,"Polman, Bert ",b. 1945,CAPETOWN,"Filitz, Friederich ",1804-1876,,,,,,,219,
473,H380,PH484,"Lead on, O King eternal",pd,n/a,pd,"Shurtleff, Ernest W. ",1862-1917,LANCASHIRE,"Smart, Henry",1813-1879,,,,,,,112,
474,H094,BOW458,"Lead us, heavenly Father, lead us",Hope,1037772chang'd,pd,"Edmeston, James",1791-1867,MANNHEIM,"Filitz, Choralbuch",1847,,,,,,,202,
475,H234,NPH548,When we walk with the Lord,pd,n/a,pd,"Sammis, John H. ",1846-1919,TRUST AND OBEY,"Towner, Daniel B. ",1850-1919,,,,,,,324,
476,H015,BOW213,Living for Jesus a life that is true,pd,n/a,pd,"Chisholm, Thomas O. ",1866-1960,LIVING FOR JESUS,"Lowden, C. Harold ",1883-1963,,,,,,,130,
477,H354,PH450,"O Master, let me walk with thee",pd,n/a,pd,"Gladden, Washington ",1836-1908,MARYTON,"Smith, H. Percy ",1825-1898,,,,,,,87,
478,H017,BOW219,"My God, I love you",Hope,1046457,pd,Latin,17th cent.,SONG 67,"Gibbons, Orlando ",1583-1625,"Caswall, Edward",1814-1878,"Smart, Henry",1813-1879,,,132,
479,H353,PH449,Fill thou my life,pd,n/a,pd,"Bonar, Horatius ",1808-1889,ELLACOMBE,"Gesangbuch der Herzogl, Würtemberg",1784,,,,,,,86,
480,H212,NPH558,Lord of all hopefulness,pd,n/a,pd,"Struther, Jan",1901-1953,SLANE,Irish ,,,,"Shaw, Martin",1875-1958,,,325,
481,H233,NTRIN668,Who trusts in God,pd,n/a,pd,"Magdeburg, Joachim  ",c.1525-1587,CONSTANCE,"Sullivan, Arthur S.",1842-1900,"Kennedy, Benjamin H.",1804-1889,,,,,343,
482,H181,N393,O sovereign God,STTL,n/a,pd,"Goris, John ",b. 1937,WOODLANDS,"Greatorex, Walter ",1877-1949,,,,,,,,
483,H358,PH454,"Nearer, still nearer",pd,n/a,pd,"Morris, Lelia N.",1862-1929,STILL NEARER,"Morris, Lelia N. ",1862-1929,,,,,,,,
484,H372,PH473,God be with you till we meet again,pd,n/a,pd,"Rankin, Jeremiah E. ",1828-1904,RANDOLPH,"Vaughan Williams, Ralph ",1872-1958,,,,,,,105,
485,H016,BOW214,"May the mind of Christ, my Saviour",pd,n/a,Tune pd; desc. FACR,"Wilkinson, Kate B. ",1859-1928,ST. LEONARDS,"Barham-Gould, A. Cyril ",1891-1953,,,,,"Brink, Emily R. ",1986,131,
486,H246,OTRIN587,Like a river glorious,pd,n/a,pd,"Havergal, Frances R. ",1836-1879,WYE VALLEY,"Mountain, James",1844-1933,,,,,,,355,
487,H349,PH445,"When peace, like a river",pd,n/a,pd,"Spafford, Horatio G. ",1828-1888,IT IS WELL,"Bliss, Philip P. ",1838-1876,,,,,,,83,
488,H364,PH465,Am I a soldier of the cross?,pd,n/a,pd,"Watts, Isaac ",1674-1748,ARLINGTON,"Arne, Thomas A. ",1710-1778,,,"Harrison, Ralph ",1748-1810,,,98,
489,H020,BOW238,"Forth in your name, O Lord, I go",pd,n/a,pd,"Wesley, Charles ",1707-1788,SONG 34,"Gibbons, Orlando ",1583-1625,,,,,,,135,
490,H363,PH464,"Christian, dost thou see them?",pd,n/a,pd,Andrew of Crete,660-732,ST. ANDREW OF CRETE,"Dykes, John B. ",1823-1876,"Neale, John M. ",1818-1866,,,,,97,
491,H243,OTRIN484,Fight the good fight,pd,n/a,pd,"Monsell, John S. B. ",1811-1875,DUKE STREET,"Hatton, John ",1710-1793,,,,,,,358,
492,H095,BOW459,He who would valiant be,pd,n/a,pd,"Bunyan, John ",1628-1688,MONKS GATE,English ,,"Dearmer, Percy ",1868-1936,"Vaughan Williams, Ralph ",1872-1958,,,203,
493,H097,BOW466,"Soldiers of Christ, arise",pd,n/a,pd,"Wesley, Charles ",1707-1788,FROM STRENGTH TO STRENGTH,"Naylor, Edward W. ",1867-1934,,,,,,,205,
494,H244,OTRIN489,The Son of God goes forth to war,pd,n/a,Gregory D. Wilbur,"Heber, Reginald ",1783-1826,GREYOAKS,"Wilbur, Gregory D. ",b. 1968,,,,,,,357,
495,H360,PH456,"Jesus, I my cross have taken",pd,n/a,pd,"Lyte, Henry F. ",1793-1847,BETHANY (SMART),"Smart, Henry",1813-1879,,,,,,,92,
496,H376,PH480,"O Jesus, I have promised",pd,n/a,pd,"Bode, John Ernest ",1816-1874,DAY OF REST,"Elliot, James William ",1833-1915,,,,,,,109,
497,H346,PH441,"Jesus, priceless treasure",pd,n/a,pd,"Franck, Johann ",1618-1677,"JESU, MEINE FREUDE","Crüger, Johann ",1598-1662,"Winkworth, Catherine ",1827-1878,,,,,80,
498,H378,PH482,We give thee but thine own,pd,n/a,pd,"How, William Walsham ",1823-1897,SCHUMANN,"Mason and Webb, Cantica Laudia, Boston",1850,,,,,,,111,
499,H240,OTRIN368,"Lord, thou lovest the cheerful giver",pd,n/a,pd,"Murray, Robert",1832-1909,BEECHER,"Zundel, John ",1815-1882,,,,,,,,
500,H245,OTRIN496,"Go, labour on",pd,n/a,pd,"Bonar, Horatius ",1808-1889,HOLLEY,"Hews, George ",1808-1889,,,,,,,356,
501,H362,PH462,"Take my life, and let it be",pd,n/a,pd,"Havergal, Frances R. ",1836-1879,HENDON,"Malan, H. A. César ",1787-1864,,,,,,,96,
501,H362,PH462,"Take my life, and let it be",pd,n/a,pd,"Havergal, Frances R. ",1836-1879,NOTTINGHAM,"Mozart, Wolfgang Amadeus",1756-1791,,,,,,,96,
502,H093,BOW451,Make me a channel of your peace,OCP,259032,OCP,"St. Francis, Prayer of",12th cent.,CHANNEL OF PEACE,"Temple, Sebastian ",1928-1997,,,,,,,201,
503,H086,BOW432,A new commandment,unknown,John 13:34-35,unknown,"John 13:34,35",1972,NEW COMMANDMENT,Anonymous,20th cent.,,,,,,,195,
504,H099,BOW471,"Be still, my soul",pd,n/a,pd,"von Schlegel, Katharina ",1697-1768,FINLANDIA,"Sibelius, Jean ",1865-1957,"Borthwick, Jane L.  ",1813-1897,,,,,207,
505,H089,BOW436,Be thou my vision,pd,n/a,pd,Irish,8th cent.,SLANE,Irish ,,"Byrne, Mary E. ",1880-1931,"Evans, David ",1874-1948,,,354,
506,H100,BOW472,Commit whatever grieves you,pd,n/a,pd,"Gerhardt, Paul ",1607-1676,BEFIEHL DU DEINE WEGE,"Bastiaans, Johannes G. ",1812-1875,,,"van Weelden, J.  ",,,,208,
507,H369,PH470,Abide with me,pd,n/a,pd,"Lyte, Henry F. ",1793-1847,EVENTIDE,"Monk, William H. ",1823-1889,,,,,,,102,
508,H098,BOW468,"We trust in you, our shield",Hope,572953,pd,"Cherry, Edith G. ",1872-1897,STRENGTH AND STAY,"Dykes, John B. ",1823-1876,,,,,,,206,
509,H085,BOW429,Seek ye first the kingdom,Universal Music,1352,Universal Music,"Lafferty, Karen",b. 1948,LAFFERTY,"Lafferty, Karen ",b. 1948,,,,,,,194,
510,H344,PH436,What a friend we have in Jesus,pd,n/a,pd,"Scriven, Joseph",1820-1866,CONVERSE,"Converse, Charles C. ",1832-1918,,,,,,,78,
510,H344,PH436,What a friend we have in Jesus,pd,n/a,pd,"Scriven, Joseph",1820-1866,BLAENWERN,"Rowlands, William P. ",1860-1937,,,,,,,78,
511,H341,NPH562,"Our Father, clothed with majesty",FACR,6456753 chang'd,pd,"Post, Marie J.",1919-1990,VATER UNSER,"Schumann, V., Geistliche Lieder",1539,,,"Bach, Johann S. ",1685-1750,,,,
512,H173,N385,Our Father which art in heaven (Malotte),pd,n/a,G. Schirmer Inc.,Matthew 6:9-13,,MALOTTE,"Malotte, H. Albert ",1895-1964,,,"Cho, Grace",,,,310,
513,H175,N387,Our Father in heaven (Gillard),pd,n/a,WestWind Music,Matthew 6:9-13,,OUR FATHER,"Gillard, Richard ",b. 1953,,,"Jansen, Guy ",b. 1935,,,312,
513,H175,N387,Our Father in heaven (Gillard),pd,n/a,WestWind Music,Matthew 6:9-13,,OUR FATHER,"Bevan-Smith, John ",b. 1946,,,,,,,312,
514,H174,N386,Our Father which art in heav'n (Langdon),pd,n/a,pd,Matthew 6:9-13,,LANGDON,"Langdon, Richard ",c. 1729-1803,,,,,,,311,
515,H383,PH489,"Hear our prayer, O Lord",pd,n/a,pd,"Whelpton, George ",1847-1930,WHELPTON,"Whelpton, George ",1847-1930,,,,,,,115,
516,H082,BOW417,"Father, hear the prayer we offer",pd,2645661,Barry Ferguson,"Willis, Love M. ",1824-1908,CYPRESS COURT,"Ferguson, Barry ",b. 1942,,,,,,,189,
517,H377,PH481,O perfect Love,pd,n/a,pd,"Gurney, Dorothy F. ",1858-1932,PERFECT LOVE,"Barnby, Joseph ",1838-1896,,,,,,,110,
518,H105,BOW495,"Lord, today bless this new marriage",FACR,82209,pd,"Post, Marie J.",1919-1990,CROSS OF JESUS,"Stainer, John",1840-1901,,,,,,,212,
519,H214,NPH589,"Our Father, whose creative love",OUP,742549,OUP,"Bayly, Albert F. ",1901-1984,ST. BOTOLPH,"Slater, Gordon A. ",1896-1979,,,,,,,327,
520,H107,BOW499,"Lord, for the years",Hope,224957,Hope,"Dudley-Smith, Timothy ",b. 1926,LORD OF THE YEARS,"Baughen, Michael ",b. 1930,,,"Iliff, David ",b. 1939,,,214,
521,H373,PH474,Hours and days and years and ages,FACR,645000,pd,"Feith, Rhijnvis",1753-1824,O DU LIEBE MEINER LIEBE,"Moravian chorale book manuscript, Herrnhut",1735,"Brink, Leonard P. ",1876-1936,,,,,106,
521,H373,PH474,Hours and days and years and ages,FACR,645000,pd,"Feith, Rhijnvis",1753-1824,O DU LIEBE MEINER LIEBE,"Moravian chorale book manuscript, Herrnhut ",1735,"Ten Harmsel,  Henrietta ",1921-2012,,,,,106,
522,H033,BOW265,Glory to God!,FACR changed,287396 added,pd,"Schultz, F. A. ",19th cent.,ERE ZIJ GOD,"Schultz, F. A. ",19th cent.,Psalter Hymnal,1987,,,,,146,
523,H117,BOW528,To God be the glory (My tribute),Crossroads,11218,Crossroads,"Crouch, Andraé ",b. 1945,MY TRIBUTE,"Crouch, Andraé ",b. 1945,,,,,,,246,
524,H116,BOW527,You are worthy,Crossroads,14789,Crossroads,"Mills, Pauline M. ",1898-1991,WORTHY,"Mills, Pauline M. ",1898-1991,,,,,,,245,
525,H115,BOW525,Now unto him,pd,Jude 24-25,unknown,Jude 24-25,,ABLE TO KEEP,"Wood, Olive ",1972,,,Sing to the Lord,2012,,,244,
526,H252,PH310,Hallelujah! Hallelujah!,pd,n/a,pd,Psalter Hymnal,1957,SICILIAN MARINERS,Sicilian,18th cent.,,,,,,,,
527,H384,PH490,Praise ye the Lord,pd,n/a,pd,Psalm 150,,WINCHESTER OLD,"Este, The Whole Book of Psalmes,",1592,,,,,"Gray, Alan",1855-1935,,
528,H382,PH488,Now blessed be Jehovah God,pd,n/a,Tune pd; desc GIA,Scottish Psalter,1650,CORONATION,"Holden, Oliver ",1765-1844,,,,,"Young, Michael E. ",b. 1939,114,
529,H385,PH491,Glory be to the Father,pd,n/a,pd,Anonymous,2nd cent.,GLORIA PATRI,"Greatorex, Henry W., Collection",1851,,,,,,,116,
529,H385,PH492,Glory be to the Father,pd,n/a,pd,Anonymous,2nd cent.,GLORIA PATRI,"Meineke, Charles ",1782-1850,,,,,,,117,
530,H387,PH493,"Praise God, from whom all blessings flow",pd,n/a,pd,"Ken, Thomas ",1637-1711,OLD HUNDREDTH,Genevan Psalter,1551,,,,,"Vaughan Williams, Ralph ",1872-1958,118,
531,H118,BOW529,To him who sits upon the throne,pd,n/a,pd,"Watts, Isaac ",1674-1748,ST.  MAGNUS,"Clarke , Jeremiah ",c. 1670-1707,,,,,,,247,
532,H119,BOW534,Amen,pd,n/a,pd,Danish,,AMEN,Danish,,,,,,,,248,
533,H394,NTRIN742,The Apostles’ Creed,pd,n/a,pd,The Apostles' Creed,2nd cent.,KIRKPATRICK,"Kirkpatrick, William J. ",1838-1921,,,,,,,,
100 b,P129,100b,All people that on earth do dwell,1957,n/a,pd,Psalter Hymnal   ,1957,OLD HUNDREDTH,Genevan Psalter,1551,,,"Dowland, John",1563-1626,,,,129
100 b,P129,100b,All people that on earth do dwell,1957,n/a,pd,Psalter Hymnal   ,1957,GENEVAN 100,Genevan Psalter,1551,,,,,,,,129
103 b,P133,103b,"O come, my soul, bless thou the LORD",1957,n/a,pd,Psalter Hymnal   ,1957,TIDINGS,"Walch, James ",1837-1901,,,,,,,,134
105 b,P136,105b,Unto the LORD lift thankful voices,FACR,832703 n/a,pd,"Brondsema, Samuel G.",1821-1989,GENEVAN 105,Genevan Psalter,1562,Psalter Hymnal,1957,"Van Andel, Henry J. ",b. 1882,,,,137
105 b,P136,105b,Unto the LORD lift thankful voices,FACR,832703 n/a,pd,"Brondsema, Samuel G.",1821-1989,PIERRE,Genevan Psalter,1562,Psalter Hymnal,1957,"Van Andel, Henry J. ",b. 1882,,,,137
116 b,P148,116b,"I love the LORD, the fount of life",FACR,832710 n/a,pd,"Kuipers, William ",1884-1933,GENEVAN 116,Genevan Psalter,1562,,,"Swets, Seymour ",1900-1982,,,,149
116 b,P148,116b,"I love the LORD, the fount of life",FACR,832710 n/a,pd,"Kuipers, William ",1884-1933,SACRIFICE OF PRAISE,Genevan Psalter,1562,,,"Swets, Seymour ",1900-1982,,,,149
118 part 1,P150,118 part 1,O thank the LORD,Free Church of Scotland,n/a,pd,Sing Psalms,2003,GALILEE (ARMES),"Armes, Philip ",1836-1908,,,,,,,,151
118 part 2,P151,118 part 2,Triumphant shouts of joy,Free Church of Scotland,n/a,pd,Sing Psalms,2003,CHURCH TRIUMPHANT,"Elliot, James William ",1833-1915,,,,,,,,152
118b,P152,118b,Give thanks to GOD,FACR,6442059,pd,"Wiersma, Stanley ",1930-1986,GENEVAN 118,Genevan Psalter,1551,,,,,,,,153
118b,P152,118b,Give thanks to GOD,FACR,6442059,pd,"Wiersma, Stanley ",1930-1986,RENDEZ A DIEU,Genevan Psalter,1551,,,,,,,,153
119:105,P154,119:105,Your word's a lamp,Ward,n/a,pd,The Complete Book of Psalms for Singing,1991,HEREFORD,"Wesley, Samuel S.  ",1810-1876,,,,,,,,186
119:113,P155,119:113,The double-minded I abhor,Free Church of Scotland,n/a,pd,Sing Psalms,2003,HAMBURG,Gregorian chant,,,,"Mason, Lowell ",1792-1872,,,,169
119:121,P156,119:121,I have followed truth and justice,1957,n/a,pd,Psalter Hymnal   ,1957,ROBINSON,"Hastings, Thomas ",1784-1872,,,,,,,,170
119:129,P157,119:129,"Your statutes, LORD, are wonderful",Free Church of Scotland,n/a,pd,Sing Psalms,2003,ST. CRISPIN,"Elvey, George J. ",1816-1893,,,,,,,,171
